sample_no,q10_1en,ノイズフラグ,ノイズ理由
632,Internet,該当なし,
3281,Internet Search,該当なし,
1677,Internet Information,該当なし,
3105,Related galleries in Japan,該当なし,
2504,I have a friend who lived in Japan,該当なし,
1498,Japan Travel YouTuber,該当なし,
796,Japan Travel YouTube,該当なし,
215,"I searched for information on YouTube for Japan travel, and I mainly found out a lot through a travel agency called Here",該当なし,
2628,A friend who went on a trip to Japan,該当なし,
161,My younger brother often travels to Japan on business trips,該当なし,
3297,Japan National Tourism Organization,該当なし,
2380,Japanese friends,該当なし,
1654,Station attendant at the subway station,該当なし,
3191,a friend,該当なし,
2342,a friend,該当なし,
1719,Friends or travel influencers,該当なし,
2727,Friends and acquaintances,該当なし,
2732,"A friend went there before I went on a trip, so I got a lot of recommendations for restaurants and cafes that my friend went to.",該当なし,
1932,Community review (blog or travel gallery),該当なし,
3029,Travel Guide Japan App,該当なし,
2158,Triple,該当なし,
1033,Triple,該当なし,
2980,Triple,該当なし,
2148,Trip.com,該当なし,
394,I received recommendations for travel destinations in Japan on Twitter,該当なし,
666,Hana Tour,該当なし,
2571,Hana Tour Travel Agency Site,該当なし,
1720,Local Friends,該当なし,
1070,HotelsCombined,該当なし,
112,Books and magazines,該当なし,
1974,about,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
805,vogue,該当なし,
1680,Miscellanies,該当なし,
380,TV,該当なし,
3026,Those who give are all thrown away by reading,設問と無関係,旅行情報源に関する回答ではない。
2048,I don't remember exactly,極端に短い/情報量ゼロ,具体的な情報源が示されていない。
1659,The first day of acquaintance with the general person,設問と無関係,旅行情報源に関する回答ではない。
3654,Fliggy,該当なし,
2502,Fliggy Travel,該当なし,
2847,Fliggy Travel,該当なし,
1508,Fliggy.com,該当なし,
812,Hornet's nest free travel,該当なし,
